City_ID,City Name,Cloudiness,Country,Datetime,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Mazatlán,1,MX,-25200,58,23.2167,-106.4167,76.91,0
1,Mweka,99,CD,7200,88,-4.85,21.5667,71.62,4.47
2,Puerto Ayora,43,EC,-21600,75,-0.7393,-90.3518,75.16,11.12
3,Consolación del Sur,67,CU,-18000,55,22.5047,-83.5136,83.79,2.84
4,Marawi,84,PH,28800,93,7.9986,124.2928,67.64,2.46
5,Cape Town,0,ZA,7200,57,-33.9258,18.4232,68.11,28.77
6,Mataura,100,NZ,46800,60,-46.1927,168.8643,57.02,8.19
7,Rikitea,7,PF,-32400,66,-23.1203,-134.9692,72.46,8.01
8,Upernavik,97,GL,-10800,88,72.7868,-56.1549,11.28,10.45
9,Porto Velho,40,BR,-14400,74,-8.7619,-63.9039,82.45,3.44
10,Pevek,26,RU,43200,84,69.7008,170.3133,-2.47,6.87
11,Punta Arenas,40,CL,-10800,58,-53.15,-70.9167,55.51,34.52
12,Quzhou,1,CN,28800,92,28.9594,118.8686,57.49,3.38
13,Busselton,2,AU,28800,73,-33.65,115.3333,55.04,10.83
14,Oriximiná,48,BR,-10800,52,-1.7656,-55.8661,89.98,4.14
15,Aswān,13,EG,7200,28,24.0934,32.907,73.89,13.35
16,Libertador General San Martín,89,AR,-10800,33,-23.8064,-64.7876,92.97,5.39
17,Paita,81,PE,-18000,71,-5.0892,-81.1144,79.36,9.37
18,Qaanaaq,96,GL,-14400,67,77.484,-69.3632,-2.88,7.05
19,Thunder Bay,90,CA,-18000,74,48.4001,-89.3168,29.55,2.3
20,‘Āhuimanu,40,US,-36000,81,21.4447,-157.8378,74.91,4.61
21,Knysna,29,ZA,7200,60,-34.0363,23.0471,64.78,5.79
22,Hermanus,0,ZA,7200,65,-34.4187,19.2345,68.9,12.1
23,Albany,42,US,-18000,66,42.6001,-73.9662,42.73,5.01
24,Hasaki,80,JP,32400,61,35.7333,140.8333,43.2,9.24
25,Bredasdorp,1,ZA,7200,55,-34.5322,20.0403,65.28,12.1
26,Vaini,20,TO,46800,94,-21.2,-175.2,68.16,0
27,Khonsa,0,IN,19800,83,27.0167,95.5667,57.31,4.14
28,Manggar,98,ID,25200,84,-2.8833,108.2667,78.98,5.19
29,Yoichi,90,JP,32400,70,43.2039,140.7703,39.22,19.6
30,Aginskoye,100,RU,32400,95,51.1,114.53,15.71,2.04
31,Honiara,100,SB,39600,85,-9.4333,159.95,77.41,3.31
32,New Norfolk,100,AU,39600,71,-42.7826,147.0587,51.66,0.67
33,Bluff,100,NZ,46800,72,-46.6,168.3333,57.42,12.88
34,Fortuna,75,US,-28800,75,40.5982,-124.1573,52.41,1.99
35,Nouadhibou,20,MR,0,64,20.931,-17.0347,75.18,14.97
